DateTime,News
2012-01-09 12:06:00,WTI And Import Crude Price Differentials Create Profit Margin Advantages For Mid Continent Refiners Over Coastal Peers; Imports Currently Trade At $10 Premium Over West Texas Intermediate
2012-01-12 12:53:00,Shares of UGP Now Overbought
2012-05-02 10:50:00,Ultrapar announces its 1Q12 results
2012-05-08 11:32:00,Ultrapar Participacoes S.A. Stock Getting Very Oversold
2012-05-29 09:29:00,Are Ultrapar Holdings\' Earnings Worse Than They Look?
2012-07-30 04:34:00,"Coca-Cola, Sprint Nextel Among Stocks Setting 52-Week Highs Monday"
2012-08-01 06:52:00,Ultrapar Announces its 2Q12 Results
2012-08-15 11:02:00,Are You Watching This Trend at Ultrapar Holdings?
2012-09-29 04:00:00,Are Ultrapar Holdings\'s Earnings Worse Than They Look?
2012-10-15 08:57:00,Top Value Picks In The BRICs For Week Of Oct. 15
2012-10-15 09:21:00,Betting on Brazil
2012-10-15 11:30:00,UGP Makes Notable Cross Below Critical Moving Average
2012-10-16 03:59:00,UGP Stock Crowded With Sellers
2012-11-07 06:14:00,Ultrapar Announces its 3Q12 Results
2012-11-23 01:06:00,How Quickly Is the Cash Coming at Ultrapar Holdings?
2012-12-03 12:03:00,3 Stocks Pushing The Basic Materials Sector Higher
2012-12-12 09:10:00,Here\'s Why Ultrapar Holdings Is Earning So Much for You
2013-01-07 02:49:00,"Latin American Oil Production Prospects for 2013: a Wall Street Transcript Interview with Marcus Sequeira, Latin America Oil and Gas Equity Research Analyst for Deutsche Bank (DB)"
2013-01-18 09:08:00,Is Ultrapar Holdings\'s Cash Machine Empty?
2013-03-05 09:02:00,The Secret Reason Ultrapar Holdings\'s Earnings are Awesome
2013-03-21 03:58:00,"Joseph A. Mills, CEO, & Jeffrey P. Wood, SVP and CFO of Eagle Rock Energy Partners L.P. (EROC) Interview with The Wall Street Transcript"
2013-04-04 01:04:00,How Ultrapar Holdings Got More Awesome Last Quarter
2013-04-13 05:01:00,Why Ultrapar Is Poised to Outperform
2013-04-22 01:03:00,4 Stocks Pulling The Basic Materials Sector Downward
2013-05-06 10:50:00,"For U.S. Oil and Gas Royalty Trusts, It\'s Location, Structure and Term: Kevin C. Smith, Vice President at Raymond James & Associates, Inc., Interviews with The Wall Street Transcript"
2013-05-09 09:26:00,Under-Performing Brazilian Stocks Look Attractive Now
2013-05-15 07:19:00,Ultrapar announces its 1Q13
2013-05-17 03:53:00,Ultrapar Participacoes\' Management Discusses Q1 2013 Results - Earnings Call Transcript
2013-05-21 01:10:00,Ensco to Enhance Shareholder Value
2013-05-22 04:05:00,Transocean Updates Fleet Summary
2013-05-31 01:08:00,Are Ultrapar Holdings\'s Earnings Better Than They Look?
2013-05-31 04:10:00,Ultrapar Participacoes Stock Getting Very Oversold
2013-06-04 02:05:00,Are Emerging Market Stocks Worth The Trouble?
2013-06-11 01:04:00,1 Reason Ultrapar Holdings Looks Attractive
2013-06-25 09:22:00,Indebted Petrobras Is a Great Long-Term Investment
2013-06-28 03:09:00,"Leo Mariani, Analyst at RBC Capital Markets, Interviews with The Wall Street Transcript: U.S. Oil and Gas E&P Shale Developments for 2013"
