DateTime,Status,Company,Recommendation,Target
2015-06-01,Upgrade,JP Morgan,Neutral → Overweight,$5.80 → $6.50
2016-05-05,Downgrade,JP Morgan,Overweight → Neutral,
2016-08-18,Downgrade,Morgan Stanley,Overweight → Equal-Weight,
2016-11-03,Resumed,Barclays,Equal Weight,$6
2016-11-10,Upgrade,JP Morgan,Neutral → Overweight,
