DateTime,News
2011-01-14 01:57:00,UPDATE 3-Pao de Acucar Q4 same-store sales falter on foods
2011-01-14 06:20:00,Brazil Pao de Acucar: \'10 net sales at 32 bln reais
2011-01-14 07:53:00,UPDATE 1-Appliances lead gains in Pao de Acucar Q4 sales
2011-01-14 09:42:00,UPDATE 2-Pao de Acucar Q4 same-store sales falter on foods
2011-01-19 11:49:00,29 BRIC Stocks With Growth Potential
2013-08-09 01:03:00,4 Services Stocks Driving The Sector Higher
2013-08-09 11:24:00,Brazil\'s P\xc3\xa3o de A\xc3\xa7\xc3\xbacar chairman sells $215 mln stake - source
2013-08-19 04:30:00,Companhia Brasileira de Distribuicao Getting Very Oversold (CBD)
2013-08-20 10:51:00,Interesting CBD Put And Call For October 19th
2013-08-29 11:41:00,Growth Gets Better With Size For These Retailers
2013-09-05 12:27:00,"A Top-Down Approach to Multicap Growth Investing: Rob Hoxton, CEO & Christopher J. Dorsey, Investment Analyst at HFI Wealth Management, Interview with The Wall Street Transcript"
2013-09-18 04:44:00,CBD Makes Bullish Cross Above Critical Moving Average
2013-10-16 07:15:00,Brazil retailer P\xc3\xa3o de A\xc3\xa7\xc3\xbacar profit up 70 pct from year ago
2013-10-16 08:18:00,Brazil retailer P\xc3\xa3o de A\xc3\xa7\xc3\xbacar profit surges 70 pct
2013-10-18 05:30:00,Companhia Brasileira de Distribuicao Management Discusses Q3 2013 Results - Earnings Call Transcript
2013-10-18 09:00:00,Medical Marijuana Inc.\'s HempMedsPX Announces Availability of New Cibdex(TM) CBD-Rich Hemp Oil Tincture Products
2013-10-18 10:50:00,CBD\'s Q3 Earnings Up Y/Y
2013-10-18 11:00:00,Brazil\'s P\xc3\xa3o de A\xc3\xa7\xc3\xbacar sees strong year-end for appliance unit
2013-10-22 09:00:00,Photo Release -- Medical Marijuana Inc.\'s HempMedsPX Unveils New CBD-Rich Hemp Oil Product Lines at CHAMPS Denver Tradeshow
2013-11-05 11:23:00,Notable Two Hundred Day Moving Average Cross - CBD
2013-12-12 01:20:00,CBD Energy Anticipates Nasdaq Listing by January
2013-12-17 07:48:00,Brazil retailer GPA readies supermarket price battle
2013-12-17 12:41:00,Brazilian retailer GPA sees 400 new food stores through 2016
2013-12-18 08:40:00,CBD Discusses 3-Yr Outlook
2013-12-23 04:55:00,CBD Remains Neutral
2013-12-24 03:00:00,Carrefour seen eyeing Brazil listing to help fund expansion
2014-01-23 07:59:00,Zacks #5 Rank Additions for Thursday
2014-03-13 11:41:00,"Brazil\'s Retail Sales Surprise, But Market Not Getting Excited"
2014-03-15 03:25:00,"Vaporizers, e-cigs of the pot world, are booming"
