"['Sep-24-09', 'Upgrade', 'JP Morgan', 'Neutral → Overweight', None]"
"['Nov-07-17', 'Upgrade', 'Credit Suisse', 'Neutral → Outperform', None]","['Dec-15-16', 'Upgrade', 'BofA/Merrill', 'Underperform → Neutral', None]","['Sep-24-09', 'Upgrade', 'JP Morgan', 'Neutral → Overweight', None]","['Feb-01-16', 'Downgrade', 'Credit Suisse', 'Outperform → Neutral', None]","['Nov-09-15', 'Downgrade', 'Citigroup', 'Buy → Neutral', None]","['Oct-16-15', 'Downgrade', 'BofA/Merrill', 'Neutral → Underperform', None]","['Oct-13-15', 'Downgrade', 'JP Morgan', 'Neutral → Underweight', None]","['May-11-15', 'Downgrade', 'BofA/Merrill', 'Buy → Neutral', None]"
"['Sep-24-09', 'Upgrade', 'JP Morgan', 'Neutral → Overweight', None]"
"['24-Sep-09', 'Upgrade', 'JP Morgan', 'Neutral → Overweight', None]"
"['May-02-18', 'Upgrade', 'BofA/Merrill', 'Neutral → Buy', None]","['Nov-07-17', 'Upgrade', 'Credit Suisse', 'Neutral → Outperform', None]","['Dec-15-16', 'Upgrade', 'BofA/Merrill', 'Underperform → Neutral', None]","['Sep-24-09', 'Upgrade', 'JP Morgan', 'Neutral → Overweight', None]","['Feb-01-16', 'Downgrade', 'Credit Suisse', 'Outperform → Neutral', None]","['Nov-09-15', 'Downgrade', 'Citigroup', 'Buy → Neutral', None]","['Oct-16-15', 'Downgrade', 'BofA/Merrill', 'Neutral → Underperform', None]","['Oct-13-15', 'Downgrade', 'JP Morgan', 'Neutral → Underweight', None]","['May-11-15', 'Downgrade', 'BofA/Merrill', 'Buy → Neutral', None]"
"['Sep-24-09', 'Upgrade', 'JP Morgan', 'Neutral → Overweight', None]"
"['May-02-18', 'Upgrade', 'BofA/Merrill', 'Neutral → Buy', None]","['Nov-07-17', 'Upgrade', 'Credit Suisse', 'Neutral → Outperform', None]","['Dec-15-16', 'Upgrade', 'BofA/Merrill', 'Underperform → Neutral', None]","['Sep-24-09', 'Upgrade', 'JP Morgan', 'Neutral → Overweight', None]","['Jun-26-19', 'Downgrade', 'BofA/Merrill', 'Buy → Neutral', None]","['Feb-01-16', 'Downgrade', 'Credit Suisse', 'Outperform → Neutral', None]","['Nov-09-15', 'Downgrade', 'Citigroup', 'Buy → Neutral', None]","['Oct-16-15', 'Downgrade', 'BofA/Merrill', 'Neutral → Underperform', None]","['Oct-13-15', 'Downgrade', 'JP Morgan', 'Neutral → Underweight', None]","['May-11-15', 'Downgrade', 'BofA/Merrill', 'Buy → Neutral', None]"
"['May-02-18', 'Upgrade', 'BofA/Merrill', 'Neutral → Buy', None]","['Nov-07-17', 'Upgrade', 'Credit Suisse', 'Neutral → Outperform', None]","['Dec-15-16', 'Upgrade', 'BofA/Merrill', 'Underperform → Neutral', None]","['Sep-24-09', 'Upgrade', 'JP Morgan', 'Neutral → Overweight', None]","['Jun-26-19', 'Downgrade', 'BofA/Merrill', 'Buy → Neutral', None]","['Feb-01-16', 'Downgrade', 'Credit Suisse', 'Outperform → Neutral', None]","['Nov-09-15', 'Downgrade', 'Citigroup', 'Buy → Neutral', None]","['Oct-16-15', 'Downgrade', 'BofA/Merrill', 'Neutral → Underperform', None]","['Oct-13-15', 'Downgrade', 'JP Morgan', 'Neutral → Underweight', None]","['May-11-15', 'Downgrade', 'BofA/Merrill', 'Buy → Neutral', None]"
"['Sep-24-09', 'Upgrade', 'JP Morgan', 'Neutral → Overweight', None]"
"['Sep-24-09', 'Upgrade', 'JP Morgan', 'Neutral → Overweight', None]","['Feb-01-16', 'Downgrade', 'Credit Suisse', 'Outperform → Neutral', None]","['Nov-09-15', 'Downgrade', 'Citigroup', 'Buy → Neutral', None]","['Oct-16-15', 'Downgrade', 'BofA/Merrill', 'Neutral → Underperform', None]","['Oct-13-15', 'Downgrade', 'JP Morgan', 'Neutral → Underweight', None]","['May-11-15', 'Downgrade', 'BofA/Merrill', 'Buy → Neutral', None]"
