DateTime,News
2013-10-28 08:40:00,Commercial Metals Rises on Q4 Earnings Beat
2013-10-29 11:43:00,Narrower-than-Expected Loss at U.S. Steel
2013-10-30 12:00:00,Big vote of confidence in Gerdau
2013-10-31 04:25:00,"Gibraltar Industries Beats on Earnings, Lags Revs"
2013-10-31 04:26:00,Emerging Markets Evening Roundup: OGX Receives $66M Payment; Taiwan GDP Slows
2013-10-31 06:59:00,Brazilian steelmaker Gerdau\'s Q3 profit tops estimates
2013-10-31 09:34:00,Brazil infrastructure push to boost steel demand -Gerdau CEO
2013-10-31 09:39:00,Gerdau profit beats estimates; strength in Brazil helps
2013-11-01 05:29:00,[video] Fast Money Final Trade
2013-11-01 06:23:00,Your first trade for Monday
2013-11-11 02:14:00,Long-term trade supports Gerdau
2013-11-11 10:00:00,"5 Stocks Going Ex-Dividend Tomorrow: HMH, CXE, GOOD, SDT, GGB"
2013-11-20 10:50:00,Insteel Survived The Bad Times And Can Look Forward To Better Days
2013-11-21 01:40:00,Gerdau Maintained at Neutral
2013-12-05 12:06:00,Today\'s Top Performers In Basic Materials
2013-12-10 12:20:00,How Will Brazil\'s Economic Slump Affect These 3 Stocks?
2013-12-16 11:14:00,ArcelorMittal May Be a Tempting Target
2013-12-16 11:14:00,ArcelorMittal Stock Suffers a Total Downgrade
2014-01-10 04:14:00,Cheap bets on rebound in Gerdau
2014-01-14 12:20:00,"Brazilian Steel: Buy Gerdau, Sell CSN, Says Citi"
2014-01-29 12:28:00,Why a consumer confidence increase means good news for mall REITs
2014-03-05 10:00:00,"3 Stocks With Upcoming Ex-Dividend Dates: FGP, GGB, LINE"
2014-03-10 09:41:00,Is Gerdau (GGB) Ready to Breakout?
2014-03-20 06:14:00,Gerdau attracts more cheap bets
2014-03-25 05:01:00,Fears About Argentina And Mexico Have Ternium Looking Cheap
2014-03-25 05:15:00,Steel Stocks: An Easy Way to Profit From Their Recovery
2014-03-26 02:39:00,Gerdau\'s Correction Seems Overdone
2014-04-02 05:43:00,Updated Research Report on Gerdau
2014-04-09 01:03:00,3 Stocks Dragging In The Basic Materials Sector
2014-04-09 11:31:00,GTL Trade Finance Inc. -- Moody\'s assigns Baa3 rating to Gerdau S.A.\'s proposed USD 500 million senior unsecured notes due 2044
2014-04-14 12:00:00,"Wall Street Transcript Interview with Nick Carter, the President and COO of Natural Resource Partners L.P. (NRP)"
2014-04-16 12:23:00,GTL Trade Finance Inc. -- Moody\'s assigns Baa3 rating to Gerdau\'s proposed up to USD 1.25 billion senior unsecured notes due 2024
2014-04-17 01:03:00,3 Stocks Driving The Metals & Mining Industry Higher
2014-04-25 02:40:00,"POSCO Posts Weak Q1 Earnings, Lowers Outlook"
2014-04-28 05:30:00,ArcelorMittal Slips to Strong Sell
2014-04-29 05:20:00,AK Steel\'s AK Tube Plants Wins Safety Recognition
2014-04-29 09:22:00,"The Zacks Analyst Blog Highlights: Exelon, Ameren, ArcelorMittal, Companhia Siderurgica Nacional and Gerdau"
2014-04-30 05:40:00,Mechel Halts Bluestone Mining Operations
2014-04-30 11:00:00,"U.S. Steel Turns to Profit, but Earnings Miss"
2014-05-07 05:00:00,Gerdau S.A.\'s (GGB) CEO Andr\xc3\xa9 Bier Gerdau Johannpeter on Q1 2014 Results - Earnings Call Transcript
2014-05-08 10:50:00,Gerdau Posts Solid Q1 Earnings
2014-05-15 04:09:00,"[video] Now is a Great Time to Go Long Gildan, Penske and Gerdau"
2014-05-21 10:04:00,"3 Stocks With Upcoming Ex-Dividend Dates: MFD, NDSN, GGB"
2014-05-23 01:03:00,"GGB, SLW And GG, 3 Metals & Mining Stocks Pushing The Industry Lower"
2014-06-04 06:14:00,Put sellers bet on floor in Gerdau
2014-06-06 09:23:00,Bank Of China Cuts Iron Ore Financing; UBS Cautious On LatAm Materials
2014-06-17 09:40:00,Is This 100-Year-Old Company Poised for a Comeback?
2014-06-23 05:00:00,Gerdau - An Attractive Investment
2014-06-24 02:27:00,3 Undervalued Metal Companies To Fuse Into Your Portfolio
2014-06-26 01:08:00,"Brazil: Rate Seen On Hold As Inflation, Politics Intensify"
2014-06-27 01:03:00,3 Stocks Pulling The Metals & Mining Industry Downward
2014-07-01 04:49:00,SABESP Significant Downside Risk
2014-07-01 11:48:00,UBS: Why Did Vale Regain Momentum?
2014-07-11 11:51:00,5 Toxic Stocks You Need to Sell in July
2014-07-12 02:53:00,Insteel Looking At Several Ways To Build Share Value
2014-07-18 03:47:00,Put sale sees Gerdau holding firm
2014-08-15 07:56:00,Sell These 5 Toxic Stocks Before It\'s Too Late
2014-08-19 12:38:00,"As Brazil Steelmakers Struggle, Usiminas Is Best Bet?"
2014-09-05 01:03:00,3 Stocks Pushing The Basic Materials Sector Lower
2014-09-11 12:57:00,Brazil Steelmaker Gerdau Sinks 1.5%
2014-09-15 02:19:00,Nucor\'s New Buy To Boost Flat-Rolled Capacity By 16%
2014-09-16 02:49:00,ArcelorMittal & Brazil\'s Gerdau Move Higher On Asset Sale
2014-09-16 05:48:00,Gerdau S.A. -- Moody\'s comments that Gerdau\'s announcement of the agreement to sell Gallatin Steel in the USA has no impact on the company\'s Baa3 ratings.
2014-09-17 05:32:00,Nucor (NUE) Buying Gallatin Steel in $770M Deal
2014-09-17 11:00:00,Gerdau S.A. to Sell 50% Interest in Gallatin Steel to Nucor
2014-09-17 12:12:00,"U.S. Steel, Nucor Lead Sector Surge"
2014-09-19 11:39:00,Latest Brazil Election Poll: Silva Lead Narrows
2014-09-22 04:26:00,"Nucor Flexes Steel-Sector Muscles With Buy, Guidance"
2014-09-26 12:21:00,GOL Airline Stock Inches Ahead After 6% Weekly Decline
2014-10-09 01:55:00,Nucor (NUE) Closes Gallatin Steel Buy for $770 Million
2014-10-10 12:04:00,Brazil Polls: Investor Fave Neves Gaining On Incumbent President
2014-10-28 09:33:00,"Zacks Industry Outlook Highlights: AK Steel Holding, Steel Dynamics, Nucor, ArcelorMittal and Gerdau"
2014-11-06 10:40:00,Gerdau Q3 Earnings Fall on Higher costs and Forex Loss
2014-11-10 11:50:00,"ArcelorMittal (MT) Swings to Profit in Q3, Shipments Up"
2014-11-14 07:12:00,Aperam S.A. -- Moody\'s upgrades Aperam to Ba3; positive outlook
2014-12-01 09:30:00,Brazil: When A Strong Cabinet Means Weak President
2014-12-02 07:19:00,Moody\'s: Energy rationing would strain Brazil\'s industrial sector
