"['Oct-26-17', 'Upgrade', 'Credit Suisse', 'Neutral → Outperform', None]","['Oct-13-16', 'Upgrade', 'Goldman', 'Neutral → Buy', None]","['Jun-16-16', 'Upgrade', 'BofA/Merrill', 'Neutral → Buy', None]","['Oct-06-16', 'Initiated', 'JP Morgan', 'Overweight', None]","['May-02-16', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$30 → $28']","['Mar-04-16', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$33 → $30']","['Jul-31-15', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$36 → $33']","['Jul-31-15', 'Reiterated', 'Deutsche Bank', 'Buy', '$40 → $35']","['Jun-29-15', 'Reiterated', 'UBS', 'Neutral', '$33 → $31']","['Mar-09-15', 'Reiterated', 'Deutsche Bank', 'Buy', '$42 → $40']","['Mar-05-15', 'Reiterated', 'UBS', 'Neutral', '$40 → $36']","['Mar-03-15', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$40 → $39']","['Mar-03-14', 'Reiterated', 'RBC Capital Mkts', 'Outperform', '$40 → $44']","['May-22-18', 'Downgrade', 'Drexel Hamilton', 'Buy → Hold', None]","['Oct-31-17', 'Downgrade', 'JP Morgan', 'Overweight → Neutral', None]","['Aug-10-17', 'Downgrade', 'Goldman', 'Buy → Sell', None]","['Nov-22-16', 'Downgrade', 'UBS', 'Neutral → Sell', '$28 → $19']","['Mar-10-16', 'Downgrade', 'BofA/Merrill', 'Buy → Neutral', None]","['Nov-03-14', 'Downgrade', 'RBC Capital Mkts', 'Outperform → Sector Perform', '$44 → $40']","['Nov-05-13', 'Downgrade', 'UBS', 'Buy → Neutral', '$39 → $31']"
"['Jun-16-16', 'Upgrade', 'BofA/Merrill', 'Neutral → Buy', None]","['May-02-16', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$30 → $28']","['Mar-04-16', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$33 → $30']","['Jul-31-15', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$36 → $33']","['Jul-31-15', 'Reiterated', 'Deutsche Bank', 'Buy', '$40 → $35']","['Jun-29-15', 'Reiterated', 'UBS', 'Neutral', '$33 → $31']","['Mar-09-15', 'Reiterated', 'Deutsche Bank', 'Buy', '$42 → $40']","['Mar-05-15', 'Reiterated', 'UBS', 'Neutral', '$40 → $36']","['Mar-03-15', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$40 → $39']","['Mar-03-14', 'Reiterated', 'RBC Capital Mkts', 'Outperform', '$40 → $44']","['Mar-14-13', 'Reiterated', 'Imperial Capital', 'Outperform', '$35 → $40']","['Feb-04-13', 'Reiterated', 'UBS', 'Buy', '$32 → $38']","['Oct-12-12', 'Initiated', 'Imperial Capital', 'Outperform', '$32']","['Sep-28-12', 'Initiated', 'BB&T Capital Mkts', 'Hold', None]","['Aug-02-12', 'Initiated', 'UBS', 'Buy', '$32 → $32']","['Apr-11-12', 'Reiterated', 'Deutsche Bank', 'Buy', '$38 → $46']","['Apr-03-12', 'Initiated', 'William Blair', 'Mkt Perform', None]","['Mar-10-16', 'Downgrade', 'BofA/Merrill', 'Buy → Neutral', None]","['Nov-03-14', 'Downgrade', 'RBC Capital Mkts', 'Outperform → Sector Perform', '$44 → $40']","['Nov-05-13', 'Downgrade', 'UBS', 'Buy → Neutral', '$39 → $31']"
"['Jul-31-09', 'Upgrade', 'Credit Suisse', 'Underperform → Neutral', '$16 → $19']","['Mar-03-09', 'Upgrade', 'UBS', 'Neutral → Buy', None]","['Mar-03-14', 'Reiterated', 'RBC Capital Mkts', 'Outperform', '$40 → $44']","['Mar-14-13', 'Reiterated', 'Imperial Capital', 'Outperform', '$35 → $40']","['Feb-04-13', 'Reiterated', 'UBS', 'Buy', '$32 → $38']","['Oct-12-12', 'Initiated', 'Imperial Capital', 'Outperform', '$32']","['Sep-28-12', 'Initiated', 'BB&T Capital Mkts', 'Hold', None]","['Aug-02-12', 'Initiated', 'UBS', 'Buy', '$32 → $32']","['Apr-11-12', 'Reiterated', 'Deutsche Bank', 'Buy', '$38 → $46']","['Apr-03-12', 'Initiated', 'William Blair', 'Mkt Perform', None]","['Jan-21-11', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$30 → $35']","['Sep-08-10', 'Initiated', 'RBC Capital Mkts', 'Sector Perform', '$29']","['Aug-03-09', 'Reiterated', 'Credit Suisse', 'Neutral', '$16 → $19']","['Jul-01-08', 'Reiterated', 'Credit Suisse', 'Neutral', '$55 → $38']","['Jan-10-08', 'Reiterated', 'UBS', 'Neutral', '$46 → $49']","['Nov-03-14', 'Downgrade', 'RBC Capital Mkts', 'Outperform → Sector Perform', '$44 → $40']","['Nov-05-13', 'Downgrade', 'UBS', 'Buy → Neutral', '$39 → $31']","['Jan-06-10', 'Downgrade', 'JP Morgan', 'Neutral → Underweight', '$18']","['Nov-02-09', 'Downgrade', 'Credit Suisse', 'Neutral → Underperform', '$22']","['Dec-18-07', 'Downgrade', 'Credit Suisse', 'Outperform → Neutral', None]"
"['Mar-04-16', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$33 → $30']","['Jul-31-15', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$36 → $33']","['Jul-31-15', 'Reiterated', 'Deutsche Bank', 'Buy', '$40 → $35']","['Jun-29-15', 'Reiterated', 'UBS', 'Neutral', '$33 → $31']","['Mar-09-15', 'Reiterated', 'Deutsche Bank', 'Buy', '$42 → $40']","['Mar-05-15', 'Reiterated', 'UBS', 'Neutral', '$40 → $36']","['Mar-03-15', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$40 → $39']","['Mar-03-14', 'Reiterated', 'RBC Capital Mkts', 'Outperform', '$40 → $44']","['Mar-14-13', 'Reiterated', 'Imperial Capital', 'Outperform', '$35 → $40']","['Feb-04-13', 'Reiterated', 'UBS', 'Buy', '$32 → $38']","['Oct-12-12', 'Initiated', 'Imperial Capital', 'Outperform', '$32']","['Sep-28-12', 'Initiated', 'BB&T Capital Mkts', 'Hold', None]","['Aug-02-12', 'Initiated', 'UBS', 'Buy', '$32 → $32']","['Apr-11-12', 'Reiterated', 'Deutsche Bank', 'Buy', '$38 → $46']","['Apr-03-12', 'Initiated', 'William Blair', 'Mkt Perform', None]","['Jan-21-11', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$30 → $35']","['Sep-08-10', 'Initiated', 'RBC Capital Mkts', 'Sector Perform', '$29']","['Nov-03-14', 'Downgrade', 'RBC Capital Mkts', 'Outperform → Sector Perform', '$44 → $40']","['Nov-05-13', 'Downgrade', 'UBS', 'Buy → Neutral', '$39 → $31']","['Jan-06-10', 'Downgrade', 'JP Morgan', 'Neutral → Underweight', '$18']"
"['03-Mar-09', 'Upgrade', 'UBS', 'Neutral → Buy', None]","['16-Apr-07', 'Upgrade', 'Citigroup', 'Hold → Buy', None]","['04-Apr-07', 'Upgrade', 'Bear Stearns', 'Underperform  → Peer Perform', None]","['01-Jul-08', 'Reiterated', 'Credit Suisse', 'Neutral', '$55 → $38']","['10-Jan-08', 'Reiterated', 'UBS', 'Neutral', '$46 → $49']","['08-Oct-07', 'Reiterated', 'Calyon Securities', 'Add', '$48 → $53']","['16-Aug-07', 'Reiterated', 'Calyon Securities', 'Add', '$56 → $48']","['21-Jun-07', 'Reiterated', 'Calyon Securities', 'Add', '$52 → $56']","['06-Mar-07', 'Reiterated', 'Calyon Securities', 'Add', '$46 → $52']","['08-Jan-07', 'Reiterated', 'Prudential', 'Overweight', '$51 → $52']","['18-Dec-07', 'Downgrade', 'Credit Suisse', 'Outperform → Neutral', None]"
"['Jun-16-16', 'Upgrade', 'BofA/Merrill', 'Neutral → Buy', None]","['Oct-06-16', 'Initiated', 'JP Morgan', 'Overweight', None]","['May-02-16', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$30 → $28']","['Mar-04-16', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$33 → $30']","['Jul-31-15', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$36 → $33']","['Jul-31-15', 'Reiterated', 'Deutsche Bank', 'Buy', '$40 → $35']","['Jun-29-15', 'Reiterated', 'UBS', 'Neutral', '$33 → $31']","['Mar-09-15', 'Reiterated', 'Deutsche Bank', 'Buy', '$42 → $40']","['Mar-05-15', 'Reiterated', 'UBS', 'Neutral', '$40 → $36']","['Mar-03-15', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$40 → $39']","['Mar-03-14', 'Reiterated', 'RBC Capital Mkts', 'Outperform', '$40 → $44']","['Mar-14-13', 'Reiterated', 'Imperial Capital', 'Outperform', '$35 → $40']","['Feb-04-13', 'Reiterated', 'UBS', 'Buy', '$32 → $38']","['Oct-12-12', 'Initiated', 'Imperial Capital', 'Outperform', '$32']","['Sep-28-12', 'Initiated', 'BB&T Capital Mkts', 'Hold', None]","['Aug-02-12', 'Initiated', 'UBS', 'Buy', '$32 → $32']","['Apr-11-12', 'Reiterated', 'Deutsche Bank', 'Buy', '$38 → $46']","['Mar-10-16', 'Downgrade', 'BofA/Merrill', 'Buy → Neutral', None]","['Nov-03-14', 'Downgrade', 'RBC Capital Mkts', 'Outperform → Sector Perform', '$44 → $40']","['Nov-05-13', 'Downgrade', 'UBS', 'Buy → Neutral', '$39 → $31']"
"['Aug-16-18', 'Upgrade', 'Morgan Stanley', 'Equal-Weight → Overweight', None]","['Oct-26-17', 'Upgrade', 'Credit Suisse', 'Neutral → Outperform', None]","['Oct-13-16', 'Upgrade', 'Goldman', 'Neutral → Buy', None]","['Jun-16-16', 'Upgrade', 'BofA/Merrill', 'Neutral → Buy', None]","['Oct-06-16', 'Initiated', 'JP Morgan', 'Overweight', None]","['May-02-16', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$30 → $28']","['Mar-04-16', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$33 → $30']","['Jul-31-15', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$36 → $33']","['Jul-31-15', 'Reiterated', 'Deutsche Bank', 'Buy', '$40 → $35']","['Jun-29-15', 'Reiterated', 'UBS', 'Neutral', '$33 → $31']","['Mar-09-15', 'Reiterated', 'Deutsche Bank', 'Buy', '$42 → $40']","['Mar-05-15', 'Reiterated', 'UBS', 'Neutral', '$40 → $36']","['Mar-03-15', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$40 → $39']","['Jan-22-19', 'Downgrade', 'Credit Suisse', 'Outperform → Neutral', None]","['Jan-17-19', 'Downgrade', 'Morgan Stanley', 'Overweight → Equal-Weight', None]","['May-22-18', 'Downgrade', 'Drexel Hamilton', 'Buy → Hold', None]","['Oct-31-17', 'Downgrade', 'JP Morgan', 'Overweight → Neutral', None]","['Aug-10-17', 'Downgrade', 'Goldman', 'Buy → Sell', None]","['Nov-22-16', 'Downgrade', 'UBS', 'Neutral → Sell', '$28 → $19']","['Mar-10-16', 'Downgrade', 'BofA/Merrill', 'Buy → Neutral', None]"
"['Oct-13-16', 'Upgrade', 'Goldman', 'Neutral → Buy', None]","['Jun-16-16', 'Upgrade', 'BofA/Merrill', 'Neutral → Buy', None]","['Oct-06-16', 'Initiated', 'JP Morgan', 'Overweight', None]","['May-02-16', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$30 → $28']","['Mar-04-16', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$33 → $30']","['Jul-31-15', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$36 → $33']","['Jul-31-15', 'Reiterated', 'Deutsche Bank', 'Buy', '$40 → $35']","['Jun-29-15', 'Reiterated', 'UBS', 'Neutral', '$33 → $31']","['Mar-09-15', 'Reiterated', 'Deutsche Bank', 'Buy', '$42 → $40']","['Mar-05-15', 'Reiterated', 'UBS', 'Neutral', '$40 → $36']","['Mar-03-15', 'Reiterated', 'RBC Capital Mkts', 'Sector Perform', '$40 → $39']","['Mar-03-14', 'Reiterated', 'RBC Capital Mkts', 'Outperform', '$40 → $44']","['Mar-14-13', 'Reiterated', 'Imperial Capital', 'Outperform', '$35 → $40']","['Feb-04-13', 'Reiterated', 'UBS', 'Buy', '$32 → $38']","['Oct-12-12', 'Initiated', 'Imperial Capital', 'Outperform', '$32']","['Sep-28-12', 'Initiated', 'BB&T Capital Mkts', 'Hold', None]","['Aug-02-12', 'Initiated', 'UBS', 'Buy', '$32 → $32']","['Mar-10-16', 'Downgrade', 'BofA/Merrill', 'Buy → Neutral', None]","['Nov-03-14', 'Downgrade', 'RBC Capital Mkts', 'Outperform → Sector Perform', '$44 → $40']","['Nov-05-13', 'Downgrade', 'UBS', 'Buy → Neutral', '$39 → $31']"
